name,type,ra_hours,dec_degrees,magnitude,size_arcmin
IC 326,G,3.510169,-14.425556,15.41,1.13
IC 327,G,3.519439,-14.692139,15.21,0.80
IC 328,G,3.519708,-14.637861,14.59,0.67
IC 329,G,3.533714,0.279444,15.14,1.00
IC 330,G,3.535564,0.353389,14.98,1.02
IC 331,G,3.538633,0.282556,14.83,0.91
IC 332,G,3.543728,1.382556,15.32,0.97
IC 333,Other,3.567606,-4.584889,,
IC 334,G,3.754744,76.638306,11.50,2.34
IC 335,G,3.591956,-34.447056,12.99,2.62
IC 336,Neb,3.632511,23.363139,,
IC 337,Other,3.617861,-6.721194,,
IC 338,G,3.627250,3.118778,14.94,0.84
IC 339,*,3.633953,-18.397778,,
IC 340,G,3.658086,-13.115111,14.76,1.61
IC 341,Neb,3.682136,21.960194,,134.90
IC 342,G,3.780139,68.096361,9.68,19.77
IC 343,G,3.668650,-18.443472,13.20,1.51
IC 344,G,3.691536,-4.665861,14.92,0.89
IC 345,G,3.685869,-18.314139,14.71,0.88
IC 346,G,3.695739,-18.266972,12.64,1.95
IC 347,G,3.709069,-4.298639,13.99,1.37
IC 348,Cl+N,3.742831,32.162833,,10.00
IC 349,RfN,3.772253,23.939806,,25.70
IC 350,G,3.743514,-11.800750,14.95,1.09
IC 351,PN,3.792503,35.046917,11.90,0.12
IC 352,G,3.793731,-8.731833,15.65,0.70
IC 353,Neb,3.883631,25.848000,,181.97
IC 354,Neb,3.899419,23.147000,,128.82
IC 355,G,3.896183,19.973917,15.40,0.67
IC 356,G,4.129697,69.812444,10.24,4.02
IC 357,G,4.062222,22.159111,14.60,0.94
IC 358,G,4.061911,19.894944,15.21,1.18
IC 359,G,4.207878,27.701972,15.39,1.30
IC 359 A,RfN,4.311389,28.290000,,15.00
IC 360,Neb,4.150714,26.131194,,180.00
IC 361,OCl,4.314083,58.249500,11.70,7.20
IC 362,G,4.278453,-12.200111,14.18,1.77
IC 363,G,4.315394,3.033028,15.20,0.33
IC 364,G,4.318528,3.188944,15.27,0.78
IC 365,G,4.320594,3.348333,14.84,0.88
IC 366,G,4.328206,2.359806,15.66,0.34
IC 367,G,4.344719,-14.781056,14.47,1.74
IC 368,G,4.378533,-12.615167,15.08,0.99
IC 369,G,4.391172,-11.790083,15.37,0.76
IC 370,G,4.400464,-9.394833,14.94,0.99
IC 371,*,4.503497,-0.561000,,
IC 372,G,4.501178,-5.009972,15.32,0.97
IC 373,G,4.511878,-4.870250,15.04,0.98
IC 374,G,4.542431,16.634167,15.81,0.23
IC 375,G,4.517539,-12.973972,15.24,0.82
IC 376,G,4.520497,-12.433361,16.05,0.59
IC 377,G,4.521261,-12.455083,14.84,1.00
IC 378,G,4.524422,-12.299750,15.60,0.79
IC 379,G,4.530814,-7.238361,14.70,0.93
IC 380,G,4.528144,-12.927028,15.25,0.76
IC 381,Dup,4.741250,75.639750,,
IC 382,G,4.632097,-9.519333,13.53,1.99
IC 383,G,4.649453,9.892528,15.60,0.63
IC 384,G,4.655078,-7.839111,15.14,0.49
IC 385,G,4.658739,-7.097472,15.41,1.15
IC 386,Dup,4.666272,-9.456222,,
IC 387,G,4.695614,-7.086194,12.99,1.60
IC 388,GPair,4.698147,-7.305528,,1.00
IC 388 NED01,G,4.697894,-7.304639,16.20,0.54
IC 388 NED02,G,4.698422,-7.306472,15.91,0.89
IC 389,G,4.699894,-7.311472,15.07,1.09
IC 390,G,4.701075,-7.206444,15.48,1.14
IC 391,G,4.955869,78.188833,12.68,1.39
IC 392,G,4.773822,3.505556,13.47,1.45
IC 393,G,4.797722,-15.525194,14.87,0.81
IC 394,Other,4.814086,-6.280194,,
IC 395,Dup,4.826119,0.252861,,
IC 396,G,4.966386,68.323389,13.08,2.38
IC 397,Other,5.018508,40.424889,,
IC 398,G,4.970156,-7.780250,,1.18
IC 399,G,5.028892,-4.288750,14.80,0.54
IC 400,G,5.062678,-15.819083,16.70,1.55
IC 401,G,5.072122,-10.076528,13.94,1.75
IC 402,G,5.104119,-9.107417,14.40,1.26
IC 403,Other,5.254358,39.972111,,
IC 404,G,5.222111,9.754917,15.50,0.73
IC 405,Neb,5.274856,34.356167,10.00,50.00
IC 406,Other,5.296944,39.886028,,
IC 407,G,5.295169,-15.523444,14.20,1.93
IC 408,G,5.329128,-25.064333,13.85,1.95
IC 409,GPair,5.325986,3.318389,,0.95
IC 410,Neb,5.378333,33.366667,,40.00
IC 411,G,5.338503,-25.324500,14.13,1.36
IC 412,G,5.365750,3.486389,14.62,1.17
IC 413,G,5.366328,3.482167,14.68,1.08
IC 414,G,5.365267,3.342028,14.40,0.60
IC 415,G,5.356008,-15.542583,15.45,0.76
IC 416,G,5.398994,-17.260417,13.90,1.41
IC 417,HII,5.468333,34.423944,,13.00
IC 418,PN,5.457831,-12.697278,9.44,0.20
IC 419,Other,5.514450,30.117917,,
IC 420,Neb,5.535972,-4.504750,,6.03
IC 421,G,5.535717,-7.918333,12.60,2.96
IC 422,G,5.538486,-17.223861,,1.04
IC 423,Neb,5.556114,-0.614500,,6.00
IC 424,Neb,5.560344,-0.413139,,2.50
IC 425,Other,5.619422,32.429667,,
IC 426,Neb,5.608717,-0.298306,,10.00
IC 427,Neb,5.605006,-6.616444,,
IC 428,Neb,5.606725,-6.451556,,
IC 429,Neb,5.638572,-7.040500,,
IC 430,Neb,5.643325,-7.083111,14.40,10.96
IC 431,RfN,5.670564,-1.462806,,8.00
IC 432,RfN,5.682217,-1.507000,,10.00
IC 433,G,5.675375,-11.665583,,1.42
IC 434,HII,5.683578,-2.453778,11.00,90.00
IC 435,RfN,5.716825,-2.312611,,3.98
IC 436,Other,5.894467,38.624778,,
IC 437,G,5.860389,-12.564972,15.25,0.97
IC 438,G,5.883356,-17.876083,12.07,2.80
IC 439,Other,5.944308,32.022694,,
IC 440,G,6.320364,80.068472,14.20,1.77
IC 441,G,6.045175,-12.499139,14.40,1.22
IC 442,G,6.603303,82.968250,14.04,1.25
IC 443,SNR,6.277058,22.531667,12.00,50.00
IC 444,RfN,6.309444,23.313333,7.03,8.00
IC 445,G,6.622569,67.859861,14.28,0.87
IC 446,Cl+N,6.518383,10.459278,,5.00
IC 447,HII,6.516756,9.897444,7.70,25.00
IC 448,HII,6.545928,7.388639,,15.00
IC 449,G,6.761419,71.343833,13.65,1.77
IC 450,G,6.870069,74.427083,14.12,1.38
IC 451,G,6.881114,74.480722,14.83,1.34
IC 452,Dup,6.810864,-16.901611,,
IC 453,*,6.819847,-16.906750,,
IC 454,G,6.851750,12.922028,14.50,1.69
IC 455,G,7.582689,85.537194,14.27,1.06
IC 456,G,7.004872,-30.163778,13.04,2.33
IC 457,Dup,7.157889,50.152528,,
IC 458,G,7.176153,50.118917,14.38,0.90
IC 459,G,7.177414,50.177333,15.76,0.59
IC 460,G,7.178964,50.202444,15.34,0.85
IC 461,G,7.179178,50.081417,15.67,0.63
IC 462,*,7.182169,50.180833,,
IC 463,G,7.183581,50.117694,,0.28
IC 464,G,7.184653,50.136889,14.74,0.80
IC 465,Dup,7.192681,50.248250,,
IC 466,HII,7.144111,-4.318000,12.06,1.00
IC 467,G,7.505108,79.872528,12.57,1.99
IC 468,Other,7.288611,-13.218694,,
IC 469,G,7.933078,85.158917,13.48,2.35
IC 471,G,7.726792,49.667556,14.22,0.66
IC 472,G,7.730650,49.614194,14.33,1.61
IC 473,Other,7.706839,9.255278,,
IC 474,G,7.768697,26.505111,14.91,1.27
IC 475,G,7.785897,30.488806,14.79,0.75
IC 476,G,7.787869,26.950972,15.45,0.62
IC 477,G,7.868592,23.483028,15.39,1.15
IC 478,G,7.894881,26.492694,15.29,0.66
IC 479,G,7.906172,27.008833,15.02,0.61
IC 480,G,7.923108,26.743333,15.04,1.75
IC 481,G,7.984128,24.160639,15.05,0.93
IC 482,G,7.996467,25.356972,14.98,0.63
